Dataset,Seed,Scaler,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,789,robust,SVR,0.8798383898623421,0.43557965559628636,0.45404761472916566,0.30065196697938157,0.36962226298313816,,,,,,,0.37771563286744214,0.39586890226946514,0.4678993964945254,0.5747065272852298
ontario,789,minmax,Explainable Model,0.5608607256717884,0.5948736460644956,0.5843511962766749,0.01839858042290044,0.09772093397581337,,,,,,134985.0,0.603881131496529,0.5785752780213862,0.6600653138787379,0.49488306171004626
ontario,789,minmax,SVR,0.8464381261628466,0.4033982682331715,0.4497032349009267,0.02457575024953869,0.11764820160646976,,,,,,,0.3641012611504453,0.4188312032853557,0.4225835107441892,0.5932969644237163
ontario,1024,zscore,Explainable Model,0.6899284889481396,0.6067374867141155,0.4290262738485555,0.6835124897148799,0.563470980699005,,,,,,134985.0,0.42069730900171554,0.4510614086464738,0.4700106147643073,0.3743357629817258
ontario,1024,zscore,SVR,0.7899005001571471,0.5107676134718765,0.5384483956376231,0.553898161005012,0.5088306755937371,,,,,,,0.5584750787623141,0.5100373705735426,0.5710510256611272,0.5142301075535085
ontario,1024,robust,Explainable Model,0.7150950631948688,0.5710346800049549,0.45552566235343395,0.30086066933937,0.3809538268164623,,,,,,134985.0,0.45030754157097974,0.4630465110526747,0.47580758925727085,0.4329410075328114
ontario,1024,robust,SVR,0.8146618446745281,0.5282559354314383,0.5709399660460448,0.23729541730195772,0.3302195441583962,,,,,,,0.5815891685273861,0.5505908773338754,0.6106774197522876,0.5409023985706307
ontario,1024,minmax,Explainable Model,0.7260089417524915,0.6055203046581075,0.5837908810641583,0.03186062478999209,0.11801286077142761,,,,,,134985.0,0.5850150459402519,0.591921689428831,0.6063497694600528,0.5518770194274978
ontario,1024,minmax,SVR,0.687758886801797,0.6104975378791138,0.5093366155649202,0.03752232344826376,0.1312029114535068,,,,,,,0.4997462462120583,0.5248493818537288,0.5165382107974599,0.4962126233964339
ontario,2025,zscore,Explainable Model,0.5638171550262491,0.37664456545631086,0.5237926905140349,0.46640915965414426,0.5035928617240713,,,,,,134985.0,0.5459336385710634,0.4666193371759262,0.6229612977569696,0.45965648855218033
ontario,2025,zscore,SVR,0.9062452776789554,0.36365518707285444,0.43300455875509813,0.5642628460029562,0.48912475764957614,,,,,,,0.4230267817344622,0.4573692837211234,0.4724551947243989,0.37916697484040784
ontario,2025,robust,Explainable Model,0.49115861755502616,0.2892345954043791,0.5011737103717527,0.3547628668454142,0.4649929662222393,,,,,,134985.0,0.49620651304658603,0.5181630181641634,0.5212763681245046,0.4690489421517562
ontario,2025,robust,SVR,0.8702284085708507,0.1134552258483418,0.4442131545987881,0.39436692302157805,0.41237844487458686,,,,,,,0.4607947478291976,0.38519463357071126,0.4908757508801077,0.43998748611513594
ontario,2025,minmax,Explainable Model,0.5505671653205941,0.364552470118394,0.5321492820524768,0.02574780342431572,0.11510980011170088,,,,,,134985.0,0.5022253903042015,0.574778311361685,0.5927601682267658,0.45883325831725497
ontario,2025,minmax,SVR,0.830177846187388,0.3350135820206146,0.47791148539556294,0.02841988440643716,0.11691384618682125,,,,,,,0.5323077165159024,0.48132558627944977,0.5321683811460634,0.3658442576408365
ontario,3407,zscore,Explainable Model,0.7507261403795246,0.6765179431149473,0.5951497041875402,0.5148552274510702,0.4771949339820364,,,,,,134985.0,0.5856957513501478,0.6060927262680982,0.6261278194387547,0.56268251969316
ontario,3407,zscore,SVR,0.7899869159683741,0.6216808841086046,0.6023960114162628,0.5129857746249209,0.4655719459189158,,,,,,,0.6463964726879303,0.5959344426493159,0.6543048425525649,0.5129482877752404
ontario,3407,robust,Explainable Model,0.7382471592855913,0.6854305111572905,0.5702335630184403,0.33449169054150274,0.38412637252417264,,,,,,134985.0,0.5904011509849225,0.5461789025958095,0.6015337784086295,0.5428204200843998
ontario,3407,robust,SVR,0.7916132210328127,0.6042982117069431,0.608119016014921,0.3027809865898092,0.36733341336921443,,,,,,,0.6474220897645186,0.5962830451270751,0.6477586850644111,0.5410122441036797
ontario,3407,minmax,Explainable Model,0.6953812404341804,0.6764389201795966,0.5780790171889612,0.030852608311931966,0.11448952396635459,,,,,,134985.0,0.5814577684875606,0.5744749197499077,0.6257753239653678,0.5306080565530084
ontario,3407,minmax,SVR,0.8719589155861699,0.5168268454182314,0.4704498325396407,0.03918761542395856,0.1390173480536661,,,,,,,0.5477227111288214,0.44721676789500264,0.5077875289878904,0.3790723221468483
ontario,5555,zscore,Explainable Model,0.7399641727960551,0.484711288964821,0.4586090392613622,0.39665467005797816,0.405177006320542,,,,,,134985.0,0.3869036027404128,0.5163453557128035,0.5135792731072877,0.41760792548494496
