Protocol,Fold,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM,Params
chronological,789,Explainable Model,0.6983586649399561,0.626393814985328,0.6693755954150662,0.3624824916750296,0.4423746160209876,0.6938102895239082,0.6163078455395221,0.7189786039250767,0.6484056426717575,134985.0
chronological,1024,Random Forest,0.9092462921647445,0.648606816803602,0.64395401853076,0.3886221859984653,0.44281653890057454,0.5696565259964956,0.646691763706829,0.7016842410343536,0.6577835433853618,
chronological,1024,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,1024,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,1024,TabNet,0.7764406501922905,0.7724541420790314,0.542688962020429,0.4999232621097285,0.507966281004286,0.4912410233272241,0.5151599206181561,0.5662046219022376,0.5981502822340983,6126.0
chronological,1024,Multi-task MLP,0.5263498455395508,0.46220366201418284,0.46151275634319566,0.5888068872020442,0.585815416385375,0.5646966758810366,0.442994797852312,0.5133422359960453,0.3250173156433891,4932.0
chronological,1024,Explainable Model,0.6769390693984305,0.6365805193226614,0.6362170028122408,0.39881107032357477,0.4536508626716584,0.6603040383214702,0.5787505317239119,0.6931219173607013,0.6126915238428798,134985.0
chronological,2025,Random Forest,0.9374236992744052,0.6156297523678929,0.6522079323373688,0.38017186374024114,0.43556042991473953,0.5959808073539172,0.6334961943597083,0.7034957517108877,0.6758589759249619,
chronological,2025,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,2025,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,2025,TabNet,0.6288271304900572,0.5719090257483677,0.5203348979683684,0.5246159276143741,0.5012348254041974,0.5056938334165102,0.4866736097523846,0.5605440974839258,0.5284280512206528,6126.0
chronological,2025,Multi-task MLP,0.6557644747965407,0.56897514749647,0.6089336029946406,0.4287542116892259,0.4881172234976675,0.6626843247553518,0.5472889997658829,0.6527141200714992,0.5730469673858293,4932.0
chronological,2025,Explainable Model,0.7340765775810315,0.637374680810233,0.6276367540295353,0.40792227778605505,0.4666958147556451,0.632614748912282,0.5779918995726784,0.6779713229907502,0.6219690446424304,134985.0
chronological,3407,Random Forest,0.9049134200385425,0.6505514979443882,0.6533585469201071,0.3784796487691124,0.44075312559971314,0.6021189944308545,0.652591229114125,0.7013317275002655,0.657392236635183,
chronological,3407,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,3407,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,3407,TabNet,0.6760204242103328,0.6479136766977918,0.5247544606862665,0.5228302990906184,0.5222834007748915,0.6359601069643535,0.3880386573096075,0.6429732726581696,0.4320458058129356,6126.0
chronological,3407,Multi-task MLP,0.5884203813957274,0.5665197871148341,0.5887720772261076,0.450846480966971,0.48328163234335275,0.672126269304114,0.5297944912918277,0.6627500866084695,0.4904174617000192,4932.0
chronological,3407,Explainable Model,0.6677182183874882,0.6294802778846916,0.5851744815191912,0.4556155726140315,0.5071151625168984,0.6687006130483012,0.4890365054511362,0.6248211398106814,0.558139667766646,134985.0
chronological,5555,Random Forest,0.9033241929966735,0.6298363512441733,0.6557264967679872,0.37613938387869567,0.4413024679012161,0.6076641158724168,0.6452490836844516,0.7026638292154619,0.6673289582996185,
chronological,5555,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,5555,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,5555,TabNet,0.7370509068264596,0.6479328343582201,0.5817724287268369,0.4571428030773509,0.48403681468214804,0.5545142293522043,0.5626066885022869,0.6219011855206176,0.5880676115322382,6126.0
